62.4695 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
62.4707 	INFO 	Loaded monitor calibration from ['2024_08_05 14:59']
63.6606 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC310>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC250>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC0A0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000223F7222220>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
63.6607 	EXP 	window1: backgroundImage = ''
63.6607 	EXP 	window1: backgroundFit = 'none'
63.6609 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC430>
63.6612 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC430>
63.6639 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC430>
63.6645 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC430>
63.6905 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.6921 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.6936 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.6952 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.6967 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.6978 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.6990 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7004 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7013 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7022 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7034 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7047 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7059 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7071 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7085 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7099 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7112 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7124 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7135 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7150 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7159 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7167 	DEBUG 	Uploading Texture Font fontname to graphics card
63.7329 	DEBUG 	Upload of Texture Font fontname complete
63.7348 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC430>
63.7350 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC430>
63.7356 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC430>
63.7361 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x00000223F6DBC430>
63.7536 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7554 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7569 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
63.7572 	DEBUG 	Uploading Texture Font fontname to graphics card
63.7690 	DEBUG 	Upload of Texture Font fontname complete
63.7723 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
63.7723 	EXP 	window1: recordFrameIntervals = False
63.9644 	EXP 	window1: recordFrameIntervals = True
65.2159 	EXP 	Screen (0) actual frame rate measured at 60.07Hz
65.2160 	EXP 	window1: recordFrameIntervals = False
65.2161 	EXP 	window1: mouseVisible = True
65.2167 	EXP 	window1: mouseVisible = True
65.2170 	EXP 	window1: mouseVisible = True
65.2179 	EXP 	window1: mouseVisible = True
65.2189 	EXP 	window1: mouseVisible = True
65.2427 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2443 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2462 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2488 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2511 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2534 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2551 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2570 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2592 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2614 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
65.2619 	DEBUG 	Uploading Texture Font fontname to graphics card
65.2628 	DEBUG 	Upload of Texture Font fontname complete
65.2652 	EXP 	window1: mouseVisible = True
65.2654 	EXP 	window1: mouseVisible = True
65.2670 	EXP 	window1: mouseVisible = True
65.2682 	EXP 	window1: mouseVisible = True
