study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,text_2.started,text_3.started,textbox.started,text_4.started,mouse.started,text_2.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cruise,,,,0,0,0,11,,,,,0.05750150000676513,,0.0171422999992501,0.05750150000676513,0.05750150000676513,4.566275500008487,1.0333333333333334,4.5182967000000644,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
keys,,,,0,1,1,13,,,,,4.59289240000362,,4.569479800004046,4.59289240000362,4.59289240000362,5.784434800007148,1.0333333333333334,1.1756048999959603,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
board,,,,0,2,2,4,,,,,5.810550800000783,,5.784734800006845,5.810550800000783,5.810550800000783,6.1834806999977445,1.0333333333333334,0.3746601000020746,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
mouse,,,,0,3,3,8,,,,,6.210204600007273,,6.183888300001854,6.210204600007273,6.210204600007273,6.648695099996985,1.0333333333333334,0.4298890000063693,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
cushion,,,,0,4,4,1,,,,,6.677322700008517,,6.648947900001076,6.677322700008517,6.677322700008517,7.1679358999972465,1.0333333333333334,0.49623089999658987,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
poster,,,,0,5,5,14,,,,,7.193973500005086,,7.1684505000011995,7.193973500005086,7.193973500005086,7.8170588000066346,1.0333333333333334,0.6277565000054892,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
T-shirt,,,,0,6,6,7,,,,,7.845087399997283,,7.817423600004986,7.845087399997283,7.845087399997283,8.317749900001218,1.0333333333333334,0.4749824000027729,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
chart,,,,0,7,7,6,,,,,8.344534500007285,,8.318008500005817,8.344534500007285,8.344534500007285,9.001909500002512,1.0333333333333334,0.6615213000040967,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
pastry,,,,0,8,8,9,,,,,9.027981699997326,,9.002180900002713,9.027981699997326,9.027981699997326,9.666796600009548,1.0333333333333334,0.6313378999911947,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
police,,,,0,9,9,12,,,,,9.694968099996913,,9.667042400003993,9.694968099996913,9.694968099996913,14.335842200001935,1.0333333333333334,4.633341200009454,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
laptop,,,,0,10,10,5,,,,,14.363398200002848,,14.33629110000038,14.363398200002848,14.363398200002848,18.2383880999987,1.0333333333333334,3.8786233000137145,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
case,,,,0,11,11,10,,,,,18.265073000002303,,18.23863910000364,18.265073000002303,18.265073000002303,18.771495100008906,1.0333333333333334,0.510139000005438,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
marble,,,,0,12,12,3,,,,,18.798567400008324,,18.771899100000155,18.798567400008324,18.798567400008324,22.106260800006567,1.0333333333333334,3.3122697999933735,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
phone,,,,0,13,13,2,,,,,22.1328865000105,,22.106540900000255,22.1328865000105,22.1328865000105,29.22529200000281,1,7.096635300011258,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
book,,,,0,14,14,0,,,,,29.252662200000486,,29.225571100003435,29.252662200000486,29.252662200000486,29.608709000007366,1,0.3635050000011688,,,,,,,,,,,,,,,bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
,_ha_t,chart,old,,,,,0,0,0,1,29.636200300010387,,,,,,,,29.6147947999998,29.636200300010387,29.636200300010387,29.636200300010387,0.009254499993403442,39.610378299999866,ch,[],[],[],[],[],[],[],bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
,c_m_ra,camera,new,,,,,0,1,1,19,39.6422814999969,,,,,,,,39.61116500000935,39.6422814999969,39.6422814999969,39.6422814999969,0.004340899991802871,45.449262900001486,camera,[-0.011666666666666667],[-0.30666666666666664],[1],[0],[0],[5.835571499992511],['text_4'],bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
,p_nc_l,pencil,new,,,,,0,2,2,16,45.47583580001083,,,,,,,,45.44983330000832,45.47583580001083,45.47583580001083,45.47583580001083,0.002064600004814565,52.068332399998326,pencil,[-0.03333333333333333],[-0.2966666666666667],[1],[0],[0],[6.615993800005526],['text_4'],bd,001,2024-11-07_20h36.06.188,word_priming_exp,2024.1.5,None,2024-11-07 20h36.25.957668 +0530,
